Dim Gray   Hex=#696969,100,105,97
Color,R,G,B
Dim Gray   Hex=#696969,96,101,95
Color,R,G,B
Dim Gray   Hex=#696969,95,100,95
Color,R,G,B
Dim Gray   Hex=#696969,95,100,95
Color,R,G,B
Dim Gray   Hex=#696969,107,117,108
Color,R,G,B
Dim Gray   Hex=#696969,107,117,108
Color,R,G,B
Dim Gray   Hex=#696969,107,117,108
Color,R,G,B
Dim Gray   Hex=#696969,107,117,108
Color,R,G,B
Dim Gray   Hex=#696969,107,117,108
Color,R,G,B
Camouflage Green   Hex=#78866b,117,120,110
Color,R,G,B
Camouflage Green   Hex=#78866b,115,121,110
Color,R,G,B
Dim Gray   Hex=#696969,113,118,110
Color,R,G,B
Xanadu   Hex=#738678,121,126,120
Color,R,G,B
Taupe Gray   Hex=#8b8589,137,139,132
Color,R,G,B
Battleship Grey   Hex=#848482,137,141,131
Color,R,G,B
Taupe Gray   Hex=#8b8589,148,149,139
Color,R,G,B
Taupe Gray   Hex=#8b8589,142,147,137
Color,R,G,B
Taupe Gray   Hex=#8b8589,143,149,138
Color,R,G,B
Manatee   Hex=#979aaa,151,152,143
Color,R,G,B
Taupe Gray   Hex=#8b8589,149,150,143
Color,R,G,B
Manatee   Hex=#979aaa,156,159,154
Color,R,G,B
Manatee   Hex=#979aaa,157,158,149
Color,R,G,B
Dark Gray   Hex=#a9a9a9,161,167,163
Color,R,G,B
Dark Gray   Hex=#a9a9a9,171,176,171
Color,R,G,B
Ash Grey   Hex=#b2beb5,185,186,181
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,188,188,184
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,191,191,187
Color,R,G,B
Silver   Hex=#c0c0c0,197,195,191
Color,R,G,B
Pale Silver   Hex=#c9c0bb,200,197,197
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,201,199,195
Color,R,G,B
Silver   Hex=#c0c0c0,199,197,193
Color,R,G,B
Silver   Hex=#c0c0c0,197,195,191
Color,R,G,B
Silver   Hex=#c0c0c0,196,194,190
Color,R,G,B
Silver   Hex=#c0c0c0,196,194,190
Color,R,G,B
Silver   Hex=#c0c0c0,198,197,191
Color,R,G,B
Ash Grey   Hex=#b2beb5,183,183,179
Color,R,G,B
Dark Gray   Hex=#a9a9a9,168,169,167
Color,R,G,B
Dark Gray   Hex=#a9a9a9,161,161,156
Color,R,G,B
Manatee   Hex=#979aaa,158,159,150
Color,R,G,B
Manatee   Hex=#979aaa,152,154,149
Color,R,G,B
Manatee   Hex=#979aaa,150,152,147
Color,R,G,B
Taupe Gray   Hex=#8b8589,149,150,138
Color,R,G,B
Taupe Gray   Hex=#8b8589,144,145,135
Color,R,G,B
Taupe Gray   Hex=#8b8589,144,145,137
Color,R,G,B
Taupe Gray   Hex=#8b8589,143,144,136
Color,R,G,B
Taupe Gray   Hex=#8b8589,143,149,138
Color,R,G,B
Manatee   Hex=#979aaa,150,151,146
Color,R,G,B
Manatee   Hex=#979aaa,156,161,155
Color,R,G,B
Dark Gray   Hex=#a9a9a9,161,162,158
Color,R,G,B
Dark Gray   Hex=#a9a9a9,161,161,154
Color,R,G,B
Dark Gray   Hex=#a9a9a9,166,165,158
Color,R,G,B
Dark Gray   Hex=#a9a9a9,169,168,161
Color,R,G,B
Dark Gray   Hex=#a9a9a9,167,167,162
Color,R,G,B
Dark Gray   Hex=#a9a9a9,169,170,166
Color,R,G,B
Dark Gray   Hex=#a9a9a9,174,172,168
Color,R,G,B
Ash Grey   Hex=#b2beb5,181,179,173
Color,R,G,B
Dark Gray   Hex=#a9a9a9,179,174,168
Color,R,G,B
Ash Grey   Hex=#b2beb5,188,185,177
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,189,184,181
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,190,186,182
Color,R,G,B
Pale Silver   Hex=#c9c0bb,196,191,188
Color,R,G,B
Pale Silver   Hex=#c9c0bb,200,198,194
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,201,199,195
Color,R,G,B
Pale Silver   Hex=#c9c0bb,201,198,195
Color,R,G,B
Silver   Hex=#c0c0c0,198,198,194
Color,R,G,B
Lavender Gray   Hex=#c4c3d0,200,200,200
Color,R,G,B
Lavender Gray   Hex=#c4c3d0,198,198,198
Color,R,G,B
Trolley Grey   Hex=#808080,129,129,130
Color,R,G,B
Licorice   Hex=#1a1110,20,17,14
Color,R,G,B
Licorice   Hex=#1a1110,25,21,19
Color,R,G,B
Licorice   Hex=#1a1110,26,22,18
Color,R,G,B
Licorice   Hex=#1a1110,26,22,18
Color,R,G,B
Licorice   Hex=#1a1110,29,25,21
Color,R,G,B
Taupe Gray   Hex=#8b8589,142,140,133
Color,R,G,B
Lavender Gray   Hex=#c4c3d0,194,195,201
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,201,207,206
Color,R,G,B
Light Gray   Hex=#d3d3d3,208,212,212
Color,R,G,B
Light Gray   Hex=#d3d3d3,205,209,211
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,205,207,206
Color,R,G,B
Light Gray   Hex=#d3d3d3,211,211,209
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,207,207,207
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,201,201,201
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,203,201,199
Color,R,G,B
Silver   Hex=#c0c0c0,197,195,191
Color,R,G,B
Silver   Hex=#c0c0c0,199,197,193
Color,R,G,B
Dark Gray   Hex=#a9a9a9,182,176,169
Color,R,G,B
